"source","size_bytes","modified","sha256","profile","target","audit_status","state","run_id"
"raw/assets/02_Briefing_Templates/Event_Briefs/Event standard workbook (2).xlsx","1644714","2023-09-06T19:32:13","7486fc726b95283c259d2ffa54bf7f18babc1ff7584e65e9b2943103c1c3eb41","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Event_Briefs/event-standard-workbook-2.xlsx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Event_Briefs/In-Person event email series/20250822_in-person event series_Pam Didner.docx","29551","2025-08-22T15:42:42","5fc3bfa8aa5b0ccae53ee196ffa577048de020c5ccdcf8e27e0191a53aadca55","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Event_Briefs/In-Person event email series/20250822_in-person-event-series_pam-didner.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Initiative_Briefs/Initiaitve Modular Initiative Brief.xlsx","15059","2025-02-09T18:03:58","86460dc1d66ec7cc654f2404dfa92f69c9ae155c6d38e3724349a3108ff8a7c5","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Initiative_Briefs/initiaitve-modular-initiative-brief.xlsx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Initiative_Briefs/Initiative Modula initiative brief.docx","23755","2025-02-09T17:59:15","a80390231ef6dd0e76b3b61a147792cf6db027c53f8f980786921aaf510ec121","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Initiative_Briefs/initiative-modula-initiative-brief.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Initiative_Briefs/Kopie von Initiative Modular Creative Brief Template.pptx","2051265","2025-02-09T17:56:26","45b2e48cb54f1f4e822e5b1f5464564c5be1c6262d34ddcb4cf38ec972422d84","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Initiative_Briefs/kopie-von-initiative-modular-creative-brief-template.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Media_Briefs/20240909_DBS adapted media brief.docx","46861","2025-02-09T16:49:34","916763c5b909a72f1433564553df8d793d2190f01583cfca5cdfc713fb14862b","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Media_Briefs/20240909_dbs-adapted-media-brief.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Media_Briefs/Examples/20240908_DBS Customs Media Brief_final iteration.docx","46655","2025-02-09T16:48:43","0bda11e108dc7305754f10aee20f8bf092728ab6feefe83d327c6af38deb0db7","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Media_Briefs/Examples/20240908_dbs-customs-media-brief_final-iteration.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Media_Briefs/Examples/20240909_DBS Customs Media Brief_final iterationc.docx","55032","2025-02-09T16:46:58","12892b5a6af7113604a8239ee5d12ce4e64ab083c963c8c20ed098332f8060b8","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Media_Briefs/Examples/20240909_dbs-customs-media-brief_final-iterationc.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Brand_Strategy/202408_DB Schenker Brand Strategy Part 1_text.docx","21093","2024-08-16T16:20:20","79747c5833597eb903de632fe4ee8fb4eca035b99155b7ef5156e438d17ce2d8","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Brand_Strategy/202408_db-schenker-brand-strategy-part-1_text.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Brand_Strategy/Brand Attributes/032024_Golbal Marketing and Transformation Communication_Brand Attributes.pdf","918147","2025-02-27T17:37:44","886dd49f3036f91ef688373649d1ba502625e09251e75821a1d0cbf13efd0465","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Brand_Strategy/Brand Attributes/032024_golbal-marketing-and-transformation-communication_brand-attributes.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Design_Guidelines/2025/250429_DBS basic brand_training_social-media.pdf","6586037","2025-04-30T12:43:58","f53fe4740d8f41d1e50d28ea3bdbdd91cb518cabb6fdb8395cf40f8febb7b01c","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Design_Guidelines/2025/250429_dbs-basic-brand_training_social-media.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Design_Guidelines/2025/250429_DBS basic brand_training_social-media.pptx","121579520","2025-04-30T12:31:14","b7d96823e3ef47155797f2d8aeaaa7f97ac13b92e9b6cc045e698a6e43bffdac","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Design_Guidelines/2025/250429_dbs-basic-brand_training_social-media.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Design_Guidelines/2025/250429_DBS basic brand_training_social-media_essential.pdf","773708","2025-05-13T15:37:07","81fcf9338586575f8a51ecf6e3c5f436a8dc6e20db24841853b647bb7d75f099","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Design_Guidelines/2025/250429_dbs-basic-brand_training_social-media_essential.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Design_Guidelines/2025/250429_DBS basic brand_training_social-media_essential.pptx","7599527","2025-05-13T15:36:54","ad53ac0f86121b51f66d513d6b39f1293e4e88a766e38579f96c8f4de219e930","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Design_Guidelines/2025/250429_dbs-basic-brand_training_social-media_essential.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Design_Guidelines/210319_DB Schenker Design Guide_2.0_NEW.pdf","12612550","2024-08-07T21:25:38","98a45031275032681721103d5c533d3f8c70f2673be2c7c120bb5b87a0c4210e","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Design_Guidelines/210319_db-schenker-design-guide_2.0_new.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Design_Guidelines/PowerPoint/202504_DBS_shortD0B Schenker_Master_Samples_2024-10-23.pptx","9531751","2025-04-16T14:04:01","351546c9f6c73c6ed7ecf9d6838b522eac6b74b414cd251d88e96deb82502661","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Design_Guidelines/PowerPoint/202504_dbs_shortd0b-schenker_master_samples_2024-10-23.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Design_Guidelines/PowerPoint/DB Schenker_Master_Samples_2024-10-23.pptx","13242926","2025-04-16T14:02:36","51c90c16050a163ecdff0d15d1d5df34ddb55e823c83ce76bed1675fb5cb8df7","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Design_Guidelines/PowerPoint/db-schenker_master_samples_2024-10-23.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/HP_Brand_Analysis/20240621_Brand analysis template.pptx","988101","2024-06-21T13:28:11","1093ddd716ad4455caf879ca2aac27a1ee3dafc9ff167483028ded779ae2d15b","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/HP_Brand_Analysis/20240621_brand-analysis-template.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/HP_Brand_Analysis/BGS H2_2019 DE printers commercial report 12.20.19.pptx","2655750","2024-06-21T13:24:05","d0cfde3cdf42a772d706f02b8117344489c3da15af267a82c0646b8dd55f0814","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/HP_Brand_Analysis/bgs-h2_2019-de-printers-commercial-report-12.20.19.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Messaging_Frameworks/20260203_Identifying Messaging Framework Opinion Leaders_overview.docx","6219781","2026-02-03T13:29:27","b49287f4a61dfb49e004830cb46a00bd48ba275bfff849d546c18649660fdd94","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Messaging_Frameworks/20260203_identifying-messaging-framework-opinion-leaders_overview.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Messaging_Frameworks/20260203_PROMPT_GEN_AI Messaging Frameworks for DSV_all frameworks.docx","6231285","2026-02-03T14:02:18","764abc200cfee84013e877bea041465d1da73e96830fcf66d7394b385b14dd19","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Messaging_Frameworks/20260203_prompt_gen_ai-messaging-frameworks-for-dsv_all-frameworks.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Messaging_Frameworks/20260203_PROMPT_GEN_AI Messaging Frameworks for DSV_all frameworks_2.docx","6219892","2026-02-03T15:01:10","df0456fe11df0939008d224ceb33b1f7c742a627da90c2784c56c625c39940c7","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Messaging_Frameworks/20260203_prompt_gen_ai-messaging-frameworks-for-dsv_all-frameworks_2.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Messaging_Frameworks/20260203_PROMPT_GEN_AI Messaging Frameworks for DSV_all frameworks_2.pdf","226318","2026-02-03T15:01:12","ccbe0c424accef771374674779f4857faebb22080bb8b22c8de294d8650deeb2","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Messaging_Frameworks/20260203_prompt_gen_ai-messaging-frameworks-for-dsv_all-frameworks_2.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Writing_Guidelines/Die Hirschen editorial workshop/250814_ZgH_DBS_Editorial Writing_Workshop.pdf","16372117","2025-08-22T15:36:05","b0583e4511acf58da8c2e39e06fb5a00fa356d2355bb2f1dbe24e3288e81e11c","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Writing_Guidelines/Die Hirschen editorial workshop/250814_zgh_dbs_editorial-writing_workshop.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/03_Brand/Writing_Guidelines/Ogilvy/20250828_Ogilvy's Copywriting Framework for Juniors.docx","6212567","2025-08-28T15:29:23","e2cd1346cac42ae319406cc567ff4d238e4fe0adbb6dbcbcec03c38cf7920869","2026-07-16.1","wiki/_extractions/raw/assets/03_Brand/Writing_Guidelines/Ogilvy/20250828_ogilvy-s-copywriting-framework-for-juniors.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Customer_Journey/HP_Customer Journey Template.pptx","804258","2024-09-04T23:07:15","f93d8bf3bfdd1f722ec1a94694272baa8960ef2df4dfc92750932235cd3f3edb","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Customer_Journey/hp_customer-journey-template.pptx.md","ok","green","regeneration-four-20260810-130505"
"raw/assets/04_Persona_und_Audience/Persona_Analysis/20250626_B2B Persona Blueprint Creation_Gemini - Copy.docx","5838658","2025-09-03T15:29:12","b0dcfff8351c69b62135517ddbc690e8734ac3349b562956715d03d3e61336b5","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Analysis/20250626_b2b-persona-blueprint-creation_gemini-copy.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Analysis/20250626_B2B Persona Blueprint Creation_Gemini - Copy.pdf","342561","2025-09-03T23:29:20","84f830d0e5831289cc5e02a924ef4ea187e054fbf9449aca1218d1c607ee9777","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Analysis/20250626_b2b-persona-blueprint-creation_gemini-copy.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Analysis/20250626_B2B Persona Blueprint Creation_Gemini.docx","6237925","2025-06-27T20:26:59","154bd8ebe3b0a4f88dff12350d1dca4808f641dcb8d4a2155d726c6e3f857721","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Analysis/20250626_b2b-persona-blueprint-creation_gemini.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Analysis/20250626_B2B Persona Blueprint Creation_Gemini.pdf","342873","2025-06-27T20:27:03","bba1bd0942c0c02bdc34e1e2344b506f18972ac415a34747d41902664cbff147","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Analysis/20250626_b2b-persona-blueprint-creation_gemini.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Analysis/20250730_Orbit Media Analysis_questions.docx","6227507","2025-07-30T00:34:54","483145382501d8ddea486b64564b78deaeb746680284acf3b2ade9f676dbcb68","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Analysis/20250730_orbit-media-analysis_questions.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Analysis/20250826_PROMPT_AI Persona.docx","20524","2025-08-28T18:45:02","d7669f1dd7206d6009787d94c9b0e0e570e95f18296ed701493b1e7d60d61a7c","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Analysis/20250826_prompt_ai-persona.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Templates/5-ProspectJourneys_Personas.pptx","41286377","2024-04-08T09:16:25","f9c53c25a5abb5c32ac74616fc9fb490a964b11b7f4c87cfbde6cced5a4b05cd","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Templates/5-prospectjourneys_personas.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Templates/_Module 5- Customer Journeys and Personas_ ansehen _ Microsoft Stream.mp4","310889156","2023-12-26T15:05:50","5aa7b053487e0b8439c9df6f1c760ec1498c800442e8b43fc9b01ae15d8a0073","2026-07-16.1","","","unsupported","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Templates/EMEA HPS Personas Intro.pptx","16465434","2023-12-26T15:36:42","6db2782a0338b9a3586f5d378733f6b2d0b9c9f27fb139ddc8de2808855c7b0d","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Templates/emea-hps-personas-intro.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Templates/HP_Pan_Commercial_Services_Personas_and_Journeys_DRAFT_05_20_2019.pdf","3517834","2023-12-26T15:24:45","e28e28e5ef33aa660ecba2f54033e959dbfd1d02c58a6655de7995d7783193f6","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Templates/hp_pan_commercial_services_personas_and_journeys_draft_05_20_2019.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Templates/IDG_Persona and Journey Mapping.pptx","2000817","2023-12-26T15:39:30","c77c4aafb1f73078dae1f225ddb67943e96b96192ae1761bee0257cad1c3aef1","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Templates/idg_persona-and-journey-mapping.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Templates/PERSONA TEMPLATE.pptx","7212643","2023-12-26T18:23:11","7235a6d2259ec9c95aefe9ed761c46403c4c3df6945adf3fdb9789c8eee7d2ec","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Templates/persona-template.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/04_Persona_und_Audience/Persona_Templates/SMB Personas_ITDM_BDM.pptx","22367022","2023-12-26T15:33:28","1e7f974f69ba4fea8096d2e4fcb46b8339fc632457481944f6d9e32afbacc915","2026-07-16.1","wiki/_extractions/raw/assets/04_Persona_und_Audience/Persona_Templates/smb-personas_itdm_bdm.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/05_Content/Content_Audit/20250620_Content Quality_audit_including prompt.pdf","609139","2025-06-25T14:54:41","681dace73fcc16ea15437bed9321cce2ad2c533fa8853066f82a82649d56dde5","2026-07-16.1","wiki/_extractions/raw/assets/05_Content/Content_Audit/20250620_content-quality_audit_including-prompt.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/05_Content/Content_Audit/20250620_Content Quality_audit_including prompt_Presentation.pdf","2266149","2025-06-25T14:56:14","bcc24295c4d6ec811a153fe6e1dfbc63cefc9194e90fe8266a9a47ff55fc7296","2026-07-16.1","wiki/_extractions/raw/assets/05_Content/Content_Audit/20250620_content-quality_audit_including-prompt_presentation.pdf.md","deferred-ocr","amber","20260716-184548-695-af09e998"
"raw/assets/05_Content/Content_Audit/20250730_Orbit Media Analysis_questions.docx","6227507","2025-07-30T00:34:54","483145382501d8ddea486b64564b78deaeb746680284acf3b2ade9f676dbcb68","2026-07-16.1","wiki/_extractions/raw/assets/05_Content/Content_Audit/20250730_orbit-media-analysis_questions.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/05_Content/Hooks_und_Social_Media/20250512_Hook Framework.png","1022352","2025-05-12T20:33:34","288147e51a3405bdce86a11ccbb9d6274234fe4798899f2d7628de4d236bffff","2026-07-16.1","","","unsupported","20260716-184548-695-af09e998"
"raw/assets/05_Content/Storytelling_Frameworks/20250419_B2B Storytelling Frameworks Research_O3.docx","5869793","2025-04-19T22:59:17","4e3fb79536b68b1f25a84ec82757d87673d87ca6aea385a19d227aacfe13eb45","2026-07-16.1","wiki/_extractions/raw/assets/05_Content/Storytelling_Frameworks/20250419_b2b-storytelling-frameworks-research_o3.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/05_Content/Storytelling_Frameworks/20250419_Marketing Storytelling Frameworks Analysis_Gemini.docx","6256000","2025-04-19T21:47:38","d2c428e92bd9c6c12a877d0b32a71bb74f7f22310bb28c97e450a092006a6b15","2026-07-16.1","wiki/_extractions/raw/assets/05_Content/Storytelling_Frameworks/20250419_marketing-storytelling-frameworks-analysis_gemini.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/05_Content/Storytelling_Frameworks/20250419_Storytelling frameworks for marketing campaigns_ChatGPT.docx","1979887","2025-04-19T21:50:33","c794dbb97015d0b2f1130362bcc1d59497b17cc0289e7487635b78d43d7aedab","2026-07-16.1","wiki/_extractions/raw/assets/05_Content/Storytelling_Frameworks/20250419_storytelling-frameworks-for-marketing-campaigns_chatgpt.docx.md","ok","green","20260716-184548-695-af09e998"
