"current_path","sha256","bytes","git_state","component_type","protection_class","provisional_owner","disposition","approval_gate","notes"
"projects/No and low code_1st Marketing Agent/frameworks/journey-and-gtm/sales-enablement-translation.md","e6f73b22d58a9857fd5f5decd39518875f94b522c688c7f4b7807b24a7d59d36","2740","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/market-analysis/index.md","158750ddb2584ea5a693ac2898742c816b0a7a89b12bfb76aaa109a1be2e3450","734","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/market-analysis/market-boundary-alternative-set-analysis.md","cc71fcca6e10086fae2bce3a55d28ff64a1291a61af35036f0e66f14456cc55d","3654","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/market-analysis/porter-five-forces.md","58cd8344b4a2f43f137747580ecda65536800e2d2414e512ec4025654f6c5455","3340","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/orchestration-and-learning/contextops-stage-contract.md","8b748b721116bcd7e075f91d9bdd5ad5dceed75e6dc5c981f00e5258f3da0fd6","2586","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/orchestration-and-learning/evidence-led-recursive-learning.md","2469ea3e95dc51e7690de4848f4cd951a167dc957f8b4ee10f5d4f32e9308251","2868","tracked-clean","learning-framework","normal","marketing-operating-system-candidate","defer","G2-boundary","align with governed external learning and episode-to-pattern contract"
"projects/No and low code_1st Marketing Agent/frameworks/orchestration-and-learning/index.md","d2f22612b8edc85fd8e5263163522f50d675e41a26adb2d7edf96dfbc0ce82c8","614","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/positioning/competitive-alternative-positioning.md","81eec18856b68802bbc14d09b21d2cac1ea0808e314f5473ce7c3759c8a6dc71","3090","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/positioning/index.md","e3d04cb158d4afdbe8335c95cd6e4fbc73566d53d5c549c3728e0c8d9f25f2c8","630","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/positioning/proof-led-positioning-system.md","abb7b4fcbf40c8c0697d6cb032c5706a9ab9f51e2a1cb93bc4945b956c2c556c","3070","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/segmentation/buying-context-segmentation.md","1fc9bb05a4bbefbac29fcca4bed5105a68bb5b010d8349eca0fbb6085bc78ca2","2898","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/segmentation/category-entry-point-demand-situations.md","263dd54acc4d91f1a0610d7a233d3baa8b49164facb9baa050ecded1852be770","2991","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/segmentation/hybrid-activation-segmentation.md","5bd0f02ef8953a5b2eebf5d185ed87451d912b1cfedf6903ca55f4d31bce3f38","2736","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/segmentation/icp-account-tiering.md","619e3a67466d858524cc2ff7a5b773854f485cd1ee77dd612336d3a3e595086f","3037","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/segmentation/index.md","3e166cb7baf4816c2f52f0fd41bb90201ec1031fceaa8b218b6f8629e6affcbd","1762","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/segmentation/nested-b2b-segmentation.md","bb8b96ec3363be9aff90111a6c55bfc0749c42326563d5b21e0a5942f05ce48d","3374","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/segmentation/outcome-driven-segmentation.md","65598de22cc00876448368c23c28869f7f929dcd34e08965dab2984feadc6aa3","2964","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/segmentation/segmentation-basis-selection-stp.md","37df821409ca0538a216fbccf4161925b2e854e825a36680724c32514b8752ea","3431","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/raw/Export_2026-06-15_232426.xlsx","3f8ade07e7f2908634b4496146d5679fe147e6d5fffd2140072ac3505ed8cec1","129512","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Das-Familienbuch source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/README.md","84621b118485a69be4236dbb4cb5d9cf66cc239f2792bf857b31a1cd5e6e545c","716","tracked-clean","source-workspace-control","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","move with workspace; review parent instruction inheritance"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-claim-matrix-v0-1.md","973b314d5717418bfa5a24e4a400e486014b6d34a19cbb4a5cf5962fc04c7e35","5370","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-funnel-diagnosis-scorecard-v0-1.md","2b932623cef207467525479e564c0c45086679401a5c4bbfb30fc438fb79a8f7","8729","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-funnel-strategy-rebuild-workflow-v0-1.md","d74cbeed3f2b270a38bd70c60c9b28244f4ed27c0ab1e9f3f13f271852e18700","9497","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-kunden-segmentierung-context-packet-v0-1.md","a16b6e22b54933403b5473b7b713ec0cbd0c7aaa06e412899fb704c93478c77e","14004","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-market-positioning-analysis-2025-12-24-extracted-2026-06-15.md","cae0353618759b0b77a43d425fab0239f650d18aa2246cecea5f95502f5abd4a","31334","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-marktanalyse-context-packet-v0-2.md","029f82deae0e8a27cb0bee27b43698635f4b17c3c9a49027ebb3e3639e97d222","10999","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-marktanalyse-framework-plan-v0-1.md","6d25f6b4958856e7bb4921796047be20db3821a83c112d941700fabf03df9479","15176","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-marktanalyse-v0-1.md","f2d78576b787aedc9832d088f1c670dff5dff9fb41b8cdb90dab3a338e77e016","20738","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-product-links-overview-2026-04-26-extracted-2026-06-15.md","7b0b49f6f721b9c115e3bcdc11fac15fea3b1458c33048375e4c603525f1708c","2728","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-shopify-matrixify-data-access-report-2026-06-15.md","931635e59388835b94a9e34ff00b58a68c56f826d45f3dd855bace91482f5ec8","8789","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-website-snapshot-2026-06-14.json","648cb8b39a0d0ac4a438adbca570a87bbe75971c48fdffa4ef476178c7a1a13e","931543","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/das-familienbuch-website-snapshot-2026-06-14.md","969035ffa3b30a508aabf9462db2c62d65d33e1506c9c56cf9398af9ad5ccf4b","513376","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/shopify-matrixify-data-profile-2026-06-15.json","fc90a7c396062dc955aa1dae9a67f75ea2ff049eb69e05c889e106b995491a10","32043","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/_outputs/shopify-matrixify-export-structure-2026-06-15.json","f61e0ea02e5fa4b99f108e286f1392c449fc545ef6e61d5f3fe801a59c667e08","81191","tracked-clean","source-owned-asset","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/das-familienbuch-company-context.md","1f32e409adb611fb6f587be710a2cdb6cc61befcc6267d6af9e87b6f284732ff","8468","tracked-clean","source-owned-context","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/das-familienbuch-external-market-sources-summary-2026-06-16.md","f6972387dd107722af8ebdbb0d8a979c9ccde566ff1f9515bb5817f305e1ec23","6645","tracked-clean","source-owned-context","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/das-familienbuch-market-positioning-analysis-summary-2025-12-24.md","6a0b264f776d6834097ead1fdf52e1c18b072e450b0696f00920564e41f4e16b","4855","tracked-clean","source-owned-context","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/das-familienbuch-matrixify-export-source-summary-2026-06-15.md","1e1faaff7f9876e85516644157af5663d3b166341278230b02da819b291ae609","3743","tracked-clean","source-owned-context","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/das-familienbuch-product-links-source-summary-2026-04-26.md","08b83acdee55ef91aa2321a1657d0c0f2533700fd669b3469a21b25292b9a96c","2741","tracked-clean","source-owned-context","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/das-familienbuch-website-source-summary-2026-06-14.md","b74ab39b92c1aa720b386b95b9bff0e33675d872cedf069f5aeb7bdb7b0b31d7","4958","tracked-clean","source-owned-context","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/index.md","aa06b294d2ef1e384fc25253df03b4a6a072fb5ed7d993f53e5597dc1b740693","5861","tracked-clean","source-workspace-index","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","move with workspace and update navigation only after cutover"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/log.md","931a2ed55d1d28d5480a70cf4446407593c4f0f316656053d221552a6d721f62","9112","tracked-clean","source-workspace-log","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","preserve project history and append-only semantics"
"projects/No and low code_1st Marketing Agent/projects/Das-Familienbuch/wiki/sources.md","7094a1168d70795a7af80f12aacbae364ffedf26357c884ae3c51b6f843fb9c2","6791","tracked-clean","legacy-source-register","normal","company-workspace:Das-Familienbuch","move-to-company-workspace","G3C","preserve; reconcile with future root-custody evidence manifest"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/assets/mirror-soft-atraumatische-kanuele-digital-large.png","e4d6c17022af89d8b89ba9167779638e7c6ebf13cabbac61d9c986cad6226965","314489","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/assets/mirror-soft-atraumatische-kanuele-innovation.png","664aecbbbdced6f61ad479d9fd032cb40d768977039caf9cece766eceae023d1","313605","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/assets/mirror-soft-atraumatische-kanuele-jcd-publikation-radke-et-al.png","c37a73860d51cc2d904fd787d2cef6d14cdc42be7ce23fd69bd6086202cb65a4","2368567","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/assets/mirror-soft-atraumatische-kanuele-verpackung-variante-digital.png","a7dc5ddd75d75a3c7f68dc4184384222208a1b43fb68852387cab3bdcc87552c","1147587","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/assets/mirrorsoft-cannula-2-large.png","9d4dacd14cc0963fca930a8693275c71f5136961f367a7234fc672a3f46616fc","51542","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/assets/pfeil-o-white.svg","44a4a07bef7fa23ee9d4e7cacd9c0bb9aa0c272708486dbd5775aa28821c50e2","652","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/assets/screenshot-2026-04-19-195037.png","e4d265c914bd5773a7bb182a923ec9d0b6f15975bab8a18c1c9732a0b5d5084b","2832","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/assets/screenshot-2026-04-19-195220.png","cc5f94be220c60c157d605aec00a0fe5bc44228f9e7510a21d6c3c1d2af8ab27","2221","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/assets/screenshot-2026-04-19-195257.png","151a3bc4d27335611622700e05b2ba8fcb73b35d04a0f1f532f222a16f3380ff","4013","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/mirrorsoft-official-website-2026-06-14-extracted-text.txt","05b228470ec87d175fac927a2d553e65dc6c093dc5c3d9929a0f85028de685b3","3469","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/mirrorsoft-official-website-2026-06-14.html","177a98745338a02f0f238bce4c68ee61412e5983d074211c4dbb24d2b53ad5dc","37913","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/pmc12648355-electron-microscopy-study.html","f5257fb312e29df2ef12406969392813df6d684e8bdf22ba0f51cfcc0acc9400","109210","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/raw/pmc12945863-reply-needle-clogging.html","89e34b56f7479a634d3fed5e871327bf799ca54010da20da17e5844c62725603","98330","tracked-clean","protected-source","protected-raw","root-source-custody-proposed","defer","G3C-explicit-source-relocation","existing Nadeln source-custody exception; byte and path protected pending exact decision"
