"move_id","source_path","target_path","move_mode","pre_sha256","pre_bytes","post_sha256","post_bytes","refactor_id","operation_count","identity_state","rollback_policy","dependency_binding"
"MCX-011","projects/No and low code_1st Marketing Agent/frameworks/claim-governance/index.md","projects/marketing-contextops/frameworks/claim-governance/index.md","byte-identical-move","262E658C8CCCD11F0253A17F0931C34120C1CE1E8151EF5FDF49181B80E0F16A","355","262E658C8CCCD11F0253A17F0931C34120C1CE1E8151EF5FDF49181B80E0F16A","355","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-012","projects/No and low code_1st Marketing Agent/frameworks/framework-document-standard.md","projects/marketing-contextops/frameworks/framework-document-standard.md","byte-identical-move","40F2CF0129BE308586B641583FAA52DBB481AC4A7D1B18B39BA460F98AB5E0C4","1644","40F2CF0129BE308586B641583FAA52DBB481AC4A7D1B18B39BA460F98AB5E0C4","1644","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-013","projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/d2c-funnel-diagnosis.md","projects/marketing-contextops/frameworks/growth-and-planning/d2c-funnel-diagnosis.md","move-plus-reviewed-refactor","2BC93D9D9850A870838E6D3A82CA606B0E9F5D6EF248B910F13F0D1BBA043151","2984","DD404077C251A3DAB3BAEBF948CDB9F008521CC156B5D49E167D7FB1BDFA3844","3029","RFX-002","1","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-014","projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/ecommerce-lifecycle-marketing.md","projects/marketing-contextops/frameworks/growth-and-planning/ecommerce-lifecycle-marketing.md","move-plus-reviewed-refactor","BC7940407F300548DA2FF96E8A4E54B86095C27DB240B086A356EFD4687A1610","3127","B6C3C1C19810602E4BF6F53D2334BF37A35856DD9B15AB9E95975B235E338F1D","3172","RFX-003","1","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-015","projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/growth-loop-analysis.md","projects/marketing-contextops/frameworks/growth-and-planning/growth-loop-analysis.md","byte-identical-move","A75D14053E3729939A8D9DDE7C5BDEB41227690D09D4061FB926EF626627EC2D","2787","A75D14053E3729939A8D9DDE7C5BDEB41227690D09D4061FB926EF626627EC2D","2787","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-016","projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/index.md","projects/marketing-contextops/frameworks/growth-and-planning/index.md","byte-identical-move","4F101715CCA168F3DCBD9E783A4CEC96CABA88F3493570D90788C73A7C5B3039","1015","4F101715CCA168F3DCBD9E783A4CEC96CABA88F3493570D90788C73A7C5B3039","1015","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-017","projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/ogsm-strategy-translation.md","projects/marketing-contextops/frameworks/growth-and-planning/ogsm-strategy-translation.md","byte-identical-move","CCFEC3424628CDF2A5B7E904AAABAF7DA1535F3AC70F2AB7268A2EE508F76611","2871","CCFEC3424628CDF2A5B7E904AAABAF7DA1535F3AC70F2AB7268A2EE508F76611","2871","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-018","projects/No and low code_1st Marketing Agent/frameworks/index.md","projects/marketing-contextops/frameworks/index.md","byte-identical-move","DF298903E8D2D3C7F124793B81D0271EF3837723DF22398871A81FFB71F34DCC","2984","DF298903E8D2D3C7F124793B81D0271EF3837723DF22398871A81FFB71F34DCC","2984","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-019","projects/No and low code_1st Marketing Agent/frameworks/journey-and-gtm/campaign-role-architecture.md","projects/marketing-contextops/frameworks/journey-and-gtm/campaign-role-architecture.md","byte-identical-move","8DD9CDBE16E2C775A18414C8C8C596E5C23B2156562988D779ED3313E1A4801C","2770","8DD9CDBE16E2C775A18414C8C8C596E5C23B2156562988D779ED3313E1A4801C","2770","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-020","projects/No and low code_1st Marketing Agent/frameworks/journey-and-gtm/index.md","projects/marketing-contextops/frameworks/journey-and-gtm/index.md","byte-identical-move","E3127B7EB2DDD6A298D7CEDDFE49A81F233319D1609003CF4CBAB6A6EC0A2199","2774","E3127B7EB2DDD6A298D7CEDDFE49A81F233319D1609003CF4CBAB6A6EC0A2199","2774","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-021","projects/No and low code_1st Marketing Agent/frameworks/journey-and-gtm/nonlinear-journey-question-proof-map.md","projects/marketing-contextops/frameworks/journey-and-gtm/nonlinear-journey-question-proof-map.md","byte-identical-move","2A0300D2F0898C840FCDDE1FCD874989FA241765A7A285F54807D8A37CC7E5D2","2944","2A0300D2F0898C840FCDDE1FCD874989FA241765A7A285F54807D8A37CC7E5D2","2944","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-022","projects/No and low code_1st Marketing Agent/frameworks/journey-and-gtm/sales-enablement-translation.md","projects/marketing-contextops/frameworks/journey-and-gtm/sales-enablement-translation.md","byte-identical-move","E6F73B22D58A9857FD5F5DECD39518875F94B522C688C7F4B7807B24A7D59D36","2740","E6F73B22D58A9857FD5F5DECD39518875F94B522C688C7F4B7807B24A7D59D36","2740","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-023","projects/No and low code_1st Marketing Agent/frameworks/market-analysis/index.md","projects/marketing-contextops/frameworks/market-analysis/index.md","byte-identical-move","158750DDB2584EA5A693AC2898742C816B0A7A89B12BFB76AAA109A1BE2E3450","734","158750DDB2584EA5A693AC2898742C816B0A7A89B12BFB76AAA109A1BE2E3450","734","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-024","projects/No and low code_1st Marketing Agent/frameworks/market-analysis/market-boundary-alternative-set-analysis.md","projects/marketing-contextops/frameworks/market-analysis/market-boundary-alternative-set-analysis.md","move-plus-reviewed-refactor","CC71FCCA6E10086FAE2BCE3A55D28FF64A1291A61AF35036F0E66F14456CC55D","3654","0F25010C45350DBDF8E1627C7FE8991F808AF56A36030B9608E6A9A9535658B1","3699","RFX-004","1","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-025","projects/No and low code_1st Marketing Agent/frameworks/market-analysis/porter-five-forces.md","projects/marketing-contextops/frameworks/market-analysis/porter-five-forces.md","byte-identical-move","58CD8344B4A2F43F137747580ECDA65536800E2D2414E512EC4025654F6C5455","3340","58CD8344B4A2F43F137747580ECDA65536800E2D2414E512EC4025654F6C5455","3340","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-026","projects/No and low code_1st Marketing Agent/frameworks/orchestration-and-learning/contextops-stage-contract.md","projects/marketing-contextops/frameworks/orchestration-and-learning/contextops-stage-contract.md","byte-identical-move","8B748B721116BCD7E075F91D9BDD5AD5DCEED75E6DC5C981F00E5258F3DA0FD6","2586","8B748B721116BCD7E075F91D9BDD5AD5DCEED75E6DC5C981F00E5258F3DA0FD6","2586","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-027","projects/No and low code_1st Marketing Agent/frameworks/orchestration-and-learning/evidence-led-recursive-learning.md","projects/marketing-contextops/frameworks/orchestration-and-learning/evidence-led-recursive-learning.md","move-plus-reviewed-refactor","90D09ECF7ED2D73203A14885628899466B2301740C3F75861B0735C0BBB1A17E","2760","C336C2D33A375E1DAD69E5EA9F0BDB2CBF789B09B395B63E0DA9C4CAA61072B3","3154","RFX-005","7","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-028","projects/No and low code_1st Marketing Agent/frameworks/orchestration-and-learning/index.md","projects/marketing-contextops/frameworks/orchestration-and-learning/index.md","byte-identical-move","D2F22612B8EDC85FD8E5263163522F50D675E41A26ADB2D7EDF96DFBC0CE82C8","614","D2F22612B8EDC85FD8E5263163522F50D675E41A26ADB2D7EDF96DFBC0CE82C8","614","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-029","projects/No and low code_1st Marketing Agent/frameworks/positioning/competitive-alternative-positioning.md","projects/marketing-contextops/frameworks/positioning/competitive-alternative-positioning.md","move-plus-reviewed-refactor","81EEC18856B68802BBC14D09B21D2CAC1EA0808E314F5473CE7C3759C8A6DC71","3090","C2930D364CBEEAFA1882A246A0F6D349CC5FB6760059B4E7631D12C03EC5A747","3135","RFX-006","1","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-030","projects/No and low code_1st Marketing Agent/frameworks/positioning/index.md","projects/marketing-contextops/frameworks/positioning/index.md","byte-identical-move","E3D04CB158D4AFDBE8335C95CD6E4FBC73566D53D5C549C3728E0C8D9F25F2C8","630","E3D04CB158D4AFDBE8335C95CD6E4FBC73566D53D5C549C3728E0C8D9F25F2C8","630","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-031","projects/No and low code_1st Marketing Agent/frameworks/positioning/proof-led-positioning-system.md","projects/marketing-contextops/frameworks/positioning/proof-led-positioning-system.md","byte-identical-move","ABB7B4FCBF40C8C0697D6CB032C5706A9AB9F51E2A1CB93BC4945B956C2C556C","3070","ABB7B4FCBF40C8C0697D6CB032C5706A9AB9F51E2A1CB93BC4945B956C2C556C","3070","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-032","projects/No and low code_1st Marketing Agent/frameworks/segmentation/buying-context-segmentation.md","projects/marketing-contextops/frameworks/segmentation/buying-context-segmentation.md","byte-identical-move","1FC9BB05A4BBEFBAC29FCCA4BED5105A68BB5B010D8349ECA0FBB6085BC78CA2","2898","1FC9BB05A4BBEFBAC29FCCA4BED5105A68BB5B010D8349ECA0FBB6085BC78CA2","2898","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-033","projects/No and low code_1st Marketing Agent/frameworks/segmentation/category-entry-point-demand-situations.md","projects/marketing-contextops/frameworks/segmentation/category-entry-point-demand-situations.md","move-plus-reviewed-refactor","263DD54ACC4D91F1A0610D7A233D3BAA8B49164FACB9BAA050ECDED1852BE770","2991","6E3B8C7947116B3F49A1D34F74C8EB394F4F0AABB24045BADB49A75C4EEE7147","3036","RFX-007","1","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-034","projects/No and low code_1st Marketing Agent/frameworks/segmentation/hybrid-activation-segmentation.md","projects/marketing-contextops/frameworks/segmentation/hybrid-activation-segmentation.md","byte-identical-move","5BD0F02EF8953A5B2EEBF5D185ED87451D912B1CFEDF6903CA55F4D31BCE3F38","2736","5BD0F02EF8953A5B2EEBF5D185ED87451D912B1CFEDF6903CA55F4D31BCE3F38","2736","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-035","projects/No and low code_1st Marketing Agent/frameworks/segmentation/icp-account-tiering.md","projects/marketing-contextops/frameworks/segmentation/icp-account-tiering.md","byte-identical-move","FF5400F8B733E57504E49B35F76FE85768C6A9FD1AB68B258DB01A28F6750049","2926","FF5400F8B733E57504E49B35F76FE85768C6A9FD1AB68B258DB01A28F6750049","2926","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-036","projects/No and low code_1st Marketing Agent/frameworks/segmentation/index.md","projects/marketing-contextops/frameworks/segmentation/index.md","byte-identical-move","3E166CB7BAF4816C2F52F0FD41BB90201EC1031FCEAA8B218B6F8629E6AFFCBD","1762","3E166CB7BAF4816C2F52F0FD41BB90201EC1031FCEAA8B218B6F8629E6AFFCBD","1762","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-037","projects/No and low code_1st Marketing Agent/frameworks/segmentation/nested-b2b-segmentation.md","projects/marketing-contextops/frameworks/segmentation/nested-b2b-segmentation.md","byte-identical-move","BB8B96EC3363BE9AFF90111A6C55BFC0749C42326563D5B21E0A5942F05CE48D","3374","BB8B96EC3363BE9AFF90111A6C55BFC0749C42326563D5B21E0A5942F05CE48D","3374","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-038","projects/No and low code_1st Marketing Agent/frameworks/segmentation/outcome-driven-segmentation.md","projects/marketing-contextops/frameworks/segmentation/outcome-driven-segmentation.md","byte-identical-move","65598DE22CC00876448368C23C28869F7F929DCD34E08965DAB2984FEADC6AA3","2964","65598DE22CC00876448368C23C28869F7F929DCD34E08965DAB2984FEADC6AA3","2964","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-039","projects/No and low code_1st Marketing Agent/frameworks/segmentation/segmentation-basis-selection-stp.md","projects/marketing-contextops/frameworks/segmentation/segmentation-basis-selection-stp.md","move-plus-reviewed-refactor","37DF821409CA0538A216FBCCF4161925B2E854E825A36680724C32514B8752EA","3431","5EEB7982A82BEFBED69ED0E69B12E0C5085E1C42F2ACA445A26146347EFBE4C2","3476","RFX-008","1","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-040","projects/No and low code_1st Marketing Agent/skills/audience-understanding/agents/openai.yaml","projects/marketing-contextops/skills/audience-understanding/agents/openai.yaml","byte-identical-move","902CF35200C87FEBE812BAB4CF4F573759B19B73D20C2B5D08A0D28F1F4136B8","285","902CF35200C87FEBE812BAB4CF4F573759B19B73D20C2B5D08A0D28F1F4136B8","285","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-041","projects/No and low code_1st Marketing Agent/skills/audience-understanding/references/audience-context-packet-template.md","projects/marketing-contextops/skills/audience-understanding/references/audience-context-packet-template.md","byte-identical-move","6763ED7C8A982EABEAB6A83B097358339319725F0080A8DC5086EB28191325D0","2666","6763ED7C8A982EABEAB6A83B097358339319725F0080A8DC5086EB28191325D0","2666","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-042","projects/No and low code_1st Marketing Agent/skills/audience-understanding/SKILL.md","projects/marketing-contextops/skills/audience-understanding/SKILL.md","move-plus-reviewed-refactor","DB1CD78F49F468BC5DA5CB36C1082A62C4A163F974F54FF8F4C5644A363EEE89","6537","C4A05BD946304043A248A911B8B952BF4DCD546DCACE0B9A5A3B3D4B666AA1FF","6911","RFX-009","4","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-043","projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/agents/openai.yaml","projects/marketing-contextops/skills/b2b-gtm-mapping/agents/openai.yaml","byte-identical-move","FFE5A273FDD7AF1B4C269C29CED782FD7936374D10474848ED52645ECA9CBAAD","244","FFE5A273FDD7AF1B4C269C29CED782FD7936374D10474848ED52645ECA9CBAAD","244","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-044","projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/references/campaign-architecture-template.md","projects/marketing-contextops/skills/b2b-gtm-mapping/references/campaign-architecture-template.md","byte-identical-move","AF352C274628F7FF8FD2486DE123725664D526DC014EC9085E023E805D4AD543","521","AF352C274628F7FF8FD2486DE123725664D526DC014EC9085E023E805D4AD543","521","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-045","projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/references/journey-template.md","projects/marketing-contextops/skills/b2b-gtm-mapping/references/journey-template.md","byte-identical-move","EBFB4E58A29A33EBF7DEB7F944841EF3E26594D4D913D52F0D23A46034174534","579","EBFB4E58A29A33EBF7DEB7F944841EF3E26594D4D913D52F0D23A46034174534","579","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-046","projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/references/persona-template.md","projects/marketing-contextops/skills/b2b-gtm-mapping/references/persona-template.md","byte-identical-move","4E3B77B411125F1E982F9887EFFD0867CDB830BBD4E9F8616CECA97B6B80FDCF","775","4E3B77B411125F1E982F9887EFFD0867CDB830BBD4E9F8616CECA97B6B80FDCF","775","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-047","projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/references/sales-enablement-template.md","projects/marketing-contextops/skills/b2b-gtm-mapping/references/sales-enablement-template.md","byte-identical-move","DFD84AAABF0A8A9F59F9DD2BB276912667F32D9D26583A46FEA05389BAE4E90C","655","DFD84AAABF0A8A9F59F9DD2BB276912667F32D9D26583A46FEA05389BAE4E90C","655","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-048","projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/SKILL.md","projects/marketing-contextops/skills/b2b-gtm-mapping/SKILL.md","move-plus-reviewed-refactor","D26490D349220E09B24A806339AB583B1569CB7689ED6EB8FE58FE6144F593D7","3984","9460DE7AF9F4F7D4828839220148984F865542B2BD6385A140302852B89C2CC6","4302","RFX-010","4","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-049","projects/No and low code_1st Marketing Agent/skills/buying-contexts/agents/openai.yaml","projects/marketing-contextops/skills/buying-contexts/agents/openai.yaml","byte-identical-move","BD765B0111FC6D59FB5200F283E9BBC0C6275A04DFD0D3158FBC75822A926FE1","206","BD765B0111FC6D59FB5200F283E9BBC0C6275A04DFD0D3158FBC75822A926FE1","206","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-050","projects/No and low code_1st Marketing Agent/skills/buying-contexts/references/boundary-rules.md","projects/marketing-contextops/skills/buying-contexts/references/boundary-rules.md","byte-identical-move","E5A10DA1B1501F8E25464F45A2C6B7CEEE32A79BE2D87717FC52EC7626A468B6","1662","E5A10DA1B1501F8E25464F45A2C6B7CEEE32A79BE2D87717FC52EC7626A468B6","1662","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-051","projects/No and low code_1st Marketing Agent/skills/buying-contexts/references/business-case-adaptations.md","projects/marketing-contextops/skills/buying-contexts/references/business-case-adaptations.md","byte-identical-move","00AF7C3B5966E2AD460004B82AD256508A668C002127FA40BFD9395B24EFEF15","2849","00AF7C3B5966E2AD460004B82AD256508A668C002127FA40BFD9395B24EFEF15","2849","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-052","projects/No and low code_1st Marketing Agent/skills/buying-contexts/references/buying-context-packet-template.md","projects/marketing-contextops/skills/buying-contexts/references/buying-context-packet-template.md","byte-identical-move","46226032964538DDB4B237B2027739B97DC46188F1DCDEC74B96B1B9D13CB29B","2537","46226032964538DDB4B237B2027739B97DC46188F1DCDEC74B96B1B9D13CB29B","2537","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-053","projects/No and low code_1st Marketing Agent/skills/buying-contexts/SKILL.md","projects/marketing-contextops/skills/buying-contexts/SKILL.md","move-plus-reviewed-refactor","69C02E2FD31E64F1841379B86EA33AF49C21D07380E246A5986FA606DECF7E4F","5048","DCAE65C1AE05B5DFFCDC7477B909A2B06A14D1AB318CD9357A5D091767F6EDDA","5346","RFX-011","4","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-054","projects/No and low code_1st Marketing Agent/skills/claim-governance/agents/openai.yaml","projects/marketing-contextops/skills/claim-governance/agents/openai.yaml","byte-identical-move","F366FF06309F40BB7A966E81CCD37789660E7D185CC7D8C2A9AF6FBE7D48B646","205","F366FF06309F40BB7A966E81CCD37789660E7D185CC7D8C2A9AF6FBE7D48B646","205","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-055","projects/No and low code_1st Marketing Agent/skills/claim-governance/references/approved-language-template.md","projects/marketing-contextops/skills/claim-governance/references/approved-language-template.md","byte-identical-move","DBA4EAAB42A156CB1B8F7FEA37C2FF63043C2A266F2EA9144EC53960F376774A","1062","DBA4EAAB42A156CB1B8F7FEA37C2FF63043C2A266F2EA9144EC53960F376774A","1062","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-056","projects/No and low code_1st Marketing Agent/skills/claim-governance/references/claim-risk-model.md","projects/marketing-contextops/skills/claim-governance/references/claim-risk-model.md","byte-identical-move","BA0D7D5FAA0DCC2BE5CD385F5C1A86AACE5F378F1D41D9D5CA8082950CC17DD7","1402","BA0D7D5FAA0DCC2BE5CD385F5C1A86AACE5F378F1D41D9D5CA8082950CC17DD7","1402","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-057","projects/No and low code_1st Marketing Agent/skills/claim-governance/references/regulated-category-caveats.md","projects/marketing-contextops/skills/claim-governance/references/regulated-category-caveats.md","byte-identical-move","1C25FAE7BC8EC1DFF973A1D65D468F117F297DF5B021FBA6C5C5F7267B2B7992","1163","1C25FAE7BC8EC1DFF973A1D65D468F117F297DF5B021FBA6C5C5F7267B2B7992","1163","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-058","projects/No and low code_1st Marketing Agent/skills/claim-governance/SKILL.md","projects/marketing-contextops/skills/claim-governance/SKILL.md","byte-identical-move","ABF7F667607747EA44196D9B05BF328209C0ACB2BF58A3155D9A9E5D53DEC11E","3391","ABF7F667607747EA44196D9B05BF328209C0ACB2BF58A3155D9A9E5D53DEC11E","3391","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-059","projects/No and low code_1st Marketing Agent/skills/company-evidence-intake/agents/openai.yaml","projects/marketing-contextops/skills/company-evidence-intake/agents/openai.yaml","byte-identical-move","2187ED747F4C60AE15C44E1BEF387BCC5D8C3B804D993736C923D9B249FA17F6","225","2187ED747F4C60AE15C44E1BEF387BCC5D8C3B804D993736C923D9B249FA17F6","225","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
