"reference_id","referencing_path","pre_sha256","legacy_occurrences","classification","required_action","postcondition","cutover_state"
"REF-018","projects/content-operating-system/frameworks/creative-direction/strategic-creative-direction.md","9F64AD6C4BECC82E4E7CECFD0057D6028CA190FC7EB3416A9B31C7DF34818A30","1","historical-preserve","Keep deprecated-framework provenance.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-019","projects/content-operating-system/frameworks/execution/content-execution.md","3136E3C4EC191E4D96972CF89A46C6B0412C7A8F2735EA60841CE983F9AAB7B0","1","historical-preserve","Keep deprecated-framework provenance.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-020","projects/marketing-contextops/AGENTS.md","5CDE76557A418E4B55AE619C28DA580A94201FDA2B86AF330D3AB39179950342","1","operational-transition","Activate reviewed target boundary only inside atomic cutover.","Target is sole current ContextOps controller; old current-route text absent.","planned-not-authorized"
"REF-021","projects/marketing-contextops/decisions/log.md","043F540B32377D9B65708DF2117E406A2B0143284BEE544FC6445D8141845F7C","1","historical-preserve","Do not rewrite P2A history; append later outcome only.","Existing old occurrence remains historical.","planned-not-authorized"
"REF-022","projects/marketing-contextops/README.md","0BB99811E3CCF3DF576203C9482593D876BF004E02A543037E41B37382A4DD7A","1","operational-transition","Replace inactive-predecessor status with reviewed current target status.","No old current-route occurrence remains.","planned-not-authorized"
"REF-023","projects/marketing-operating-system/contracts/cross-system-handoff-envelope.md","EB0041B5338B76A7A698A3C5A1F3942EC88B3FC506CC7E4736D8343B99C79ED4","5","operational-transition","Version contract and replace current specialized paths as one MOS bundle.","All five current references resolve to target and schema hash matches.","planned-not-authorized"
"REF-024","projects/marketing-operating-system/contracts/system-registry-and-ownership-contract.md","14BFD407FB7555871BB3FC73D968086339FA717B96D68C20EBA8D9E0C8D6D63D","5","operational-transition","Version contract and update current owner paths as one MOS bundle.","All five current references resolve to target and schema hash matches.","planned-not-authorized"
"REF-025","projects/marketing-operating-system/decisions/log.md","F3DB774424FF0812EF4ADFB2E2BA5BD60C4603A28CE734CF97755804D1A340F5","1","historical-preserve","Do not rewrite accepted checkpoint history; append later outcome only.","Existing old occurrence remains historical.","planned-not-authorized"
"REF-026","projects/marketing-operating-system/evals/fixtures/cross-system-handoff-valid.json","3159A0FC29A9DCC36A30D1537F1E52BEF48F6A50ED1963D5F9875226DA28001C","3","operational-transition","Update all three canonical paths and fingerprints in the versioned fixture bundle.","Fixture resolves approved target contracts and passes.","planned-not-authorized"
"REF-027","projects/marketing-operating-system/evals/fixtures/fixture-cases.json","43BBC0CFCD5E49A902E0F9A2EABD37979A69F95A5CE1BD78E58F86FBB406FB6A","2","operational-transition","Update two accepted-input paths plus all changed bundle fingerprints.","Fixture manifest and every bound hash match.","planned-not-authorized"
"REF-028","projects/marketing-operating-system/evals/fixtures/system-registry-valid.csv","A9642C4809DBA7D6A090CB9AA2A514B0BBA119C4EF8009E495906A1B57BE76A0","1","operational-transition","Update ContextOps current root and controller with production registry.","Fixture equals approved registry identity and passes.","planned-not-authorized"
"REF-029","projects/marketing-operating-system/README.md","0BE2CAE84D134BB0A64F8FEC0EEE1B5ED922293A547B61BD835560BC1181BE7F","1","operational-transition","Update current-maturity navigation without activating MOS.","ContextOps current route is target; MOS authority remains none.","planned-not-authorized"
"REF-030","projects/marketing-operating-system/registry/systems.csv","A9642C4809DBA7D6A090CB9AA2A514B0BBA119C4EF8009E495906A1B57BE76A0","1","operational-transition","Set ContextOps current_root and controller to target and transition stable.","Exactly one current target controller; registry remains descriptive.","planned-not-authorized"
"REF-031","projects/marketing-operating-system/tools/test-federation-contracts.ps1","76FB60F3451A5752B45EDAB2CE03137F977B849CBEAE22FBB958FB154723963A","2","operational-transition","Update two test expectations and add approved cutover cases.","Old controller/path negative tests fail closed; target positives pass.","planned-not-authorized"
"REF-032","tools/new-historical-recovery-manifest.ps1","B564EBF11960E9A71E0A893C9ED28AB7BAC141B2D6F1C3608D6D3DDD36610001","1","operational-additive-history-preserved","Keep Legacy branch and add explicit target recovery branch.","Both roots recoverable without ownership conflation.","planned-not-authorized"
"REF-033","wiki/_outputs/authority-to-revenue-agentic-sales-solution-2026-08-03.md","6079BF9363046531D7764DFB403E6AC3BF55A63055EA87583DFDAAB03C10D56C","3","historical-preserve","No path rewrite.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-034","wiki/_outputs/enterprise-growth-system-framework-engineering-2026-07-20.md","9F84DD42FD22FD924645599A8F6E9E98378EC413A1722F9FD7F678BEB9A92A75","1","historical-preserve","No path rewrite.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-035","wiki/_outputs/marketing-system-architecture-v0-2/architecture-review.md","A3DD2A7DB6B02FFA152CD1D4D063FB5437B47E0965FD07D00FDB01D6E0DF7505","3","historical-preserve","No path rewrite.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-036","wiki/_outputs/marketing-system-architecture-v0-2/component-register.csv","CB3C3F409B17241C898809834D20DC4FAC070A43257F560513112D47CDA98708","215","historical-preserve","Keep accepted G1 inventory immutable.","Hash and 215 occurrences unchanged.","planned-not-authorized"
"REF-037","wiki/_outputs/marketing-system-architecture-v0-2/memory-runtime-learning-contract.md","B8CB5FCEEA125E1F6FBDAA523AC95274B0A813498BC6EBD31ACBD8D6964B9623","1","historical-preserve","No path rewrite.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-038","wiki/_outputs/recovery-manifest/closures/06-content-operating-system.csv","DB49F835B115F33C806589E81CE495DF9B134A5E3ECCC6D9799E9870375A81FF","16","historical-preserve","Do not rewrite historical recovery closure.","Hash and 16 occurrences unchanged.","planned-not-authorized"
"REF-039","wiki/_outputs/second-brain-enabled-agentic-sales-enablement-strategiepapier-2026-08-03.md","BF5B3FFB1D9EC623D367E78835AF1A18AF189171CE6F8DA11988DE5B017ECF9A","1","historical-preserve","No path rewrite.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-040","wiki/index.md","943CC83E67FF06E45F9AA85FDD9E9856E824B269EAA386D56893F5F560B72C3A","1","operational-transition","Replace current ContextOps navigation with target README.","No old current-route occurrence remains.","planned-not-authorized"
"REF-041","wiki/log.md","80A943252DA13DF2DD23CDC1AAD16E11FD811BDD7280ECC6A7012AD105C40AC0","1","historical-preserve","Do not rewrite prior log history; later entries append only.","Existing old occurrence remains historical.","planned-not-authorized"
